ratings,review_titles,reviews
5.0,"""Love this washer!""","My front-loader dryer went out so I decided to purchase a new set of TOP-LOADERS!  I did a lot of research and this set I feel is the best bang for my buck.  I have had this washer for one week and thus far--it has been amazing.  It is quiet, cleans my clothes, large enough for blankets, etc AND I can still reach in and grab the clothes (I am 5""1').   I read other reviews saying it smells.....NO!  It smells new and my clothes come out perfectly clean."
5.0,"""Buy this set!!!""","We were hesitant to buy this set based on reviews that we read. The saleswoman at Lowe's explained that the previous model had recalls but the one we purchased about 2 weeks ago was a newer model and not part of the recall. That being said, the sale was too great to turn down, especially compared to some of the other brands that cost twice as much. I have done at least 15 loads of laundry so far and I can tell you this set is AMAZING!!! Both the washer and dryer are large enough to wash a king-sized comforter with no problem, not to mention that they are super quiet. If you are looking for a new washer and dryer & don't want to spend a small fortune, I highly recommend that you put this set at the top of your list. You won't be disappointed!!!!"
5.0,"""Samsung washer""","Really cant find anything I dont like about this machine. Its quite, easy to program, easy to see the controls, and cleans very well. Had originally bought a Maytag that was just way too loud for the location.This Samsung is quiet and spins even faster with less noise and vibration.As a bonus it is energy star as well. Hope it has the reliabilty... Lowes great return policy was important in my decision to buy there."
5.0,"""Top loader, no agitator""",Great washing machine.  Still getting used to it operation.  It is so much different then the old top load agitator type.  Holds plenty of clothes and they come out clean.  Have washed pillows and works great.  King size sheet set come out clean.
1.0,"""Leaking washer""","On the 2nd wash, used the Deep Wash cycle.  Water apparently leaked around an upper gasket somewhere above the drum.  Double checked supply and drain hoses - all dry.  Ran another wash with Deep Wash cycle - same thing - saw some water leak around right hand side upper seam - the rest came out the bottom.  Lowe's store was excellent to deal with - ended up returning the Samsung and bought a similar machine - Maytag.  The Samsung is not ready for prime time, yet."
3.0,"""Nice washer but wash times too long!""","Bought this washer a month ago based on reviews and sales price. Pros: large capacity, fairly quiet operation, energy efficient. Cons: no specific whites cycle and extremely long wash times!!! Ot is because of the washing time that I would not repurchase or recommend to a friend. Otherwise the price was reasonable and the clothes do get clean."
4.0,"""Good washing machine for the price""","This washer was purchased due to the recall on the prior model. My washing machine is in the garage in FL which is not ideal. I find the old washers & dryers to be better than the new ones. I have only done a couple loads of laundry so far and am happy with it. I just wish it filled with more water!  Overall, I am happy with it.  I purchased the same machine as I had only with the newer model, so I obviously must be happy overall. None are ideal with outdoor washers and dryers in FL heat!"
2.0,"""Not Worth it!!!""",The washer sticks CONSTANTLY on the spin cycle!!  Can take up to 5 hours to rinse and spin one load!  Will NEVER EVER buy another one!!  Wish I had my Maytag back!!
1.0,"""Leaks.  Cycles get stuck.  Noisy.""",Do not buy this machine or you will be sorry.  Had the first one replaced because of leaks.  Gets stuck on rinse and spin cycle.  Noisy.  I will never buy Samsung again.  Got a good price.  Lowes must be trying to get rid of them.  Spend a little extra.  It is not worth the headache.
5.0,"""a little deep but very nice washer""","I researched quite a few washers before settling on this one.  The tub is a little bit deep, I am 5'2"" and have to stand on tip toes to get everything in the bottom of the tub.  However it has a large capacity (which was important to me) and i CAN reach the bottom.  Some were small and I couldn't reach.  It works very quietly"
